Contact Person,Designation,Organization,LinkedIn Profile
 Chandan Kumar Sony,"CEO, Co-Founder",Bizhelper Software Private Limited,https://in.linkedin.com/in/chandan-kumar-745b21b
 Bizmorphic Limited,Bizmorphic Research Private Limited,Bizmorphic Research Private Limited,https://in.linkedin.com/in/aniket-magdum
 Pavan Havale,Founder & CEO,Blackox Omniscience Pvt ltd (KisanYodha),https://in.linkedin.com/in/pavan-havale
 Apar Gupta,Founder,Blu Ocean Private Limited,https://in.linkedin.com/in/apargupta
 Ankit Sengar,VP,BluBird Integrated Services Pvt Ltd,https://in.linkedin.com/in/ankitzsengar
 Ankit Vashisht,Chief Executive Offiecer,Blue Heart Robotics private limited,https://in.linkedin.com/in/ankit-vashisht-06813128a
 Devendra Sambhakar,Director,BLUECHIP CARES PRIVATE LIMITED,https://in.linkedin.com/in/devendrasambhakar
 Uditha Bandara,CEO,Bluechip Technologies Asia,https://hk.linkedin.com/in/udithabandara
 Rahul Jhunjhunwala,Cofounder,BLUEJERSEY18 TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/rahul-jhunjhunwala-85323562
 ADITI BHUTIA MADAN,FOUNDER DIRECTOR,BLUEPINE FOODS PRIVATE LIMITED,https://in.linkedin.com/in/momomami
 Sahaj Rana,"Founder, CEO",Blupx Private Limited,https://in.linkedin.com/in/sahaj-rana
 Maitreya Wagh,CEO,Bolna,https://www.linkedin.com/in/maitreya-wagh
 TUSHAR BANSAL,CO-FOUNDER & COO,BONJI NATURALS PRIVATE LIMITED,https://in.linkedin.com/in/tusharbansaltb
 Nilesh Sinha,Director HR,BonV Aero,https://in.linkedin.com/in/nilesh-sinha-4b9351201
 Nilesh Sinha,Director HR,BonV Aero Technology Private Limited,https://in.linkedin.com/in/nilesh-sinha-4b9351201
 Atul Gupta,Ceo,Bonvie Snacks,https://in.linkedin.com/in/atul-gupta-06609b28
 Rahul Pachpind,CTO,Borse automotive,https://in.linkedin.com/in/rahul-pachpind-363983103
 MANJIT SINGH 9457822334,9457822334,BotLab Dynamics Pvt Ltd,https://in.linkedin.com/in/manjit-singh-sidhu-4b1a61315
 Praveen Yadav,9467265041,BOXNMOVE LOGISTICS,https://in.linkedin.com/in/praveen-yadav-579604357
 Advaith C,Manager Operations,BPM POWER PRIVATE LIMITED,https://in.linkedin.com/in/advaith-rp-05502626b
 PUNEET BHOLA,DIRECTOR,Brain Necta Private Limited,https://in.linkedin.com/in/puneet-bhola-831b70119
 Prasana Rao A R,Founder - CEO,BRAVEHEART SOLUTIONS PVT LTD,https://in.linkedin.com/in/raoprasana
 Sudip Ghosh,Co-founder,Breww Therapeutics Private Limited,https://in.linkedin.com/in/dr-sudip-ghosh-baaa701b
 Pooja Misal,Founder CEP,BrickETC PVT LTD.,https://in.linkedin.com/in/pooja-misal-19986a215
 Surya Narayan Mishra,Director,BRIDGEVE TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/surya-narayan-mishra-03747a21a
 Shreyansh Shreyansh,Co-Founder,Bridgit Assistive Technologies Private Limited,https://in.linkedin.com/in/shreyanshvinod
 Anukul Singhal,Executive Director - Investment Banking,Brightbridge Advisors LLP,https://in.linkedin.com/in/anukuls
 ADITI PAIS,CO- FOUNDER COO,BRIOTA TECHNOLOGIES PVT LTD,https://in.linkedin.com/in/aditi-samudra-pais-693722147
 Akash Malhotra,CTO,Broki Services Private Limited,https://in.linkedin.com/in/akashrmalhotra
 MOHMADSOHILKHAN BALOCH,Director & founder,BROKTAIL FASHION INDIA PRIVATE LIMITED,Not found
 SOURAV DAS,Founder & Ceo,Bugbear Technologies Pvt. Ltd.,https://in.linkedin.com/in/hunter87
 Brijesh Kumar,Senior Operations Manager,Bugsmirror Research Private Limited,https://in.linkedin.com/in/brijesh2210
 Amrendraa Singh,Amrendraa Singh,Building Paradise Private Limited,https://in.linkedin.com/in/amrendra-singh-807
 Hit Desai,Founder,Bull Agritech,https://in.linkedin.com/in/hit-desai-878799119
 Kutti Krishnan,Director,BUMBERRY BABY PRODUCTS PRIVATE LIMITED,https://in.linkedin.com/in/kutti-krishnan-7047301
 Monika Kashyap,Monika Shukla,Buzzworthy Ventures Private Limited,https://in.linkedin.com/in/monika-shukla
 Ashish Ahir,Founder,BWOLVES STORE PRIVATE LIMITED,https://in.linkedin.com/in/ashishahir
 Dheeraj Anand,Founder,BWorth Technologies Private Limited,https://in.linkedin.com/in/dheeraj-anand-b6b407100
 Akash Jha,Director,Bytegenics Solutions Private Limited,https://in.linkedin.com/in/theakashjha
 Prashant Singh,CEO,C & N Green energy Private Limited,https://in.linkedin.com/in/prashant-singh-902b16258
 Vivek Mehta,CEO,CAELUM GLOBAL Tech Pvt Ltd,https://in.linkedin.com/in/mehtavivek
 Mahi Singh,mahi singh,Cancrie,https://in.linkedin.com/in/mahi-singh-1b750724b
 Akshat Bhaiji,Founder/CEO,Cannabie Lifestyle,https://in.linkedin.com/in/akshat-bhaiji-25b148148
 Akshat Bhaiji,Akshat Bhaiji,Cannabie Lifestyles Pvt Ltd,https://in.linkedin.com/in/akshat-bhaiji-25b148148
 Keshav Agarwal,Director,Cannarma Pvt Ltd,https://in.linkedin.com/in/agarwalkeshav
 Ramesh Jayaraman,Director,Cappitall Want Solutions Private Limited,https://in.linkedin.com/in/ramesh-jayaraman-7b899a3
 Jayesh Borele,Managing Director,Carborele Beverages Private Limited,https://in.linkedin.com/in/jayesh-borele-387a20156
 Probir Modak,Probir Modak,CareerStudy Education Private Limited,https://in.linkedin.com/in/probir-modak-30414b156
 Deepta Naha,Founder & Chief Executive Officer,Caregram Private Limited,https://in.linkedin.com/in/deepta-naha-06834920
 Maninder Singh,Maninder Singh,Caring Beez Private Limited,https://in.linkedin.com/in/maninder-singh-4a48a6a2
 Vikash Kumar Banerjee,CEO & Co -founder,Carkarlo Mobility Technologies Llp,https://in.linkedin.com/in/vikash-banerjee
 Ninad Shinde,Founder & CEO,Carme Systems Pvt Ltd,https://in.linkedin.com/in/ninad-shinde-620b2437
 Bharti Singh Chauhan,Founder & Director,CarversIndia Trades LLP,https://in.linkedin.com/in/bharti-singh-chauhan-236a8170
 Bhanu Pratap Singh,Founder & CEO,CashCry,https://in.linkedin.com/in/bhanu-pratap-singh-b5857a121
 Vyomika Singh,Marketing Manager,Castler,https://in.linkedin.com/in/singhvyomika
 Vyomika Singh,Marketing Manager,CastlerCode,https://in.linkedin.com/in/singhvyomika
 Pratabh Venugopal,"VP, Business & Sales",Cautio - Covert Eye Technologies Private Limited,https://in.linkedin.com/in/pratabhvenugopal
 Vansh Jain,Co-Founder,CAWP PRODUCTS PVT LTD,https://in.linkedin.com/in/jainvansh
 Babitdor Kharsohtun,Founder,Ceefle,Not found
 Akash Porwal,"Co-Founder , CEO",CEIR Mobility,https://in.linkedin.com/in/akash-porwal
 Iuliia Bushueva,International project manager,Center for Neurotechnology of Sleep and Wakefulness (Deep),https://www.linkedin.com/in/iuliia-vasiukova
 GANESH BABU THIYAGARAJAN,CEO,CERATATTVA INNOTECH PRIVATE LIMITED,https://in.linkedin.com/in/dr-ganeshbabut
 Sri Saiteja Annareddy,CEO,Cero Hero,https://in.linkedin.com/in/saiteja-annareddy
 Neha Upadhyay,BD Lead- APAC,ChainCode Consulting LLP,https://in.linkedin.com/in/neha-upadhyay-6132634b
 Lakshay Taneja,Lakshay Taneja,Chainfly,https://in.linkedin.com/in/lakshay-taneja-1baa18184
 Santosh Talaghatti,Santosh Talaghatti,Changement Capacity Building Pvt Ltd,https://in.linkedin.com/in/santosh-talaghatti-7698a7298
 Evisha Soni,COO,Charge23 Labs Pvt. Ltd.,https://in.linkedin.com/in/evisha
 Kumar Aditya,Founder & CEO,ChattyBao Technologies Pvt Ltd,https://in.linkedin.com/in/akumar29
 Nayan J Kalita,Founder and CEO,Chayi Trails Private Limited,https://in.linkedin.com/in/nayan-j-kalita
 Radhakrishna P M,Managing Director,Chemlife Innovations Pvt Ltd,Not found
 VENU SOMINENI,Founder & CEO,cheQin.ai,https://www.linkedin.com/in/somineni
 Ragul Paramasivam,Ragul Paramasivam,Chimertech Private Limited,https://in.linkedin.com/in/ragul-paramasivam
 Deepak Chaurasiya,Founder & CEO,CHIRAG TECHNOLOGIES,https://in.linkedin.com/in/deepak-kr-chaurasia
 Ajay Tripathi,Partner,Choate Technologis,https://in.linkedin.com/in/ajynath
 Vivart Rangari,Co-founder & CEO,Choira Musictech Pvt. Ltd.,https://in.linkedin.com/in/rvivart
 Axel Guyon,Country Manager - India,Choose Paris Region,https://in.linkedin.com/in/stephanesalib/en
 Pooja Sharma,Founder,Chromo Bliss,https://in.linkedin.com/in/pooja-sharma-b2211210b
 Akshdeep Singh,Akshdeep Singh,Chronicles Sporting Events Pvt. Ltd.,https://in.linkedin.com/in/akshdeep-singh-
 Nisar Muhammed,Managing Director,Chukkukappy Creatives,https://in.linkedin.com/in/nisar-muhammed-a0287124
 Chandni Rallan,Managing Director,Circen Technologies pvt Ltd,https://in.linkedin.com/in/chandni-rallan
 Arshdeep Swani,CEO,Circlo Biosciences Pvt. Ltd.,https://in.linkedin.com/in/arshdeepsinghbains
 Anjani Kumar Srivastava,Founder Chairman and Director,Circular Global Communication Services OPC Pvt Ltd,https://in.linkedin.com/in/dranjani-srivastava-943a583
 Shreyansh Jaiswal,Shreyansh Jaiswal,Clam.AI Venture Pvt. ltd.,https://in.linkedin.com/in/shreyansh-jaiswal34
 Ahmed Khan,CEO,Clay Capital,https://in.linkedin.com/in/ahmed-khan-79948b65
 NITHYA NAIR,Founder & managing Partner,Clean And Clever Corporation,https://www.linkedin.com/in/nithya-nair-206aa61a
 Kirit Goyal,Director,Clean Water Generator Private Limited,https://in.linkedin.com/in/kirit-goradia-85616542
 SRAVAN KUMAR KHUNTIA,"FOUNDER, CEO",Cleantech Mart by IDEALERS B2B PVT LTD,https://in.linkedin.com/in/khuntia
 Siddharth Manvati,Founder,Clear Meat,Not found
 Yuvraj Dagur,"Founder, CEO",Clevrr AI,https://in.linkedin.com/in/yuvraj-dagur
 Mohd Tameem Hashmi,Designated Partner,ClickSense Tech LLP,https://in.linkedin.com/in/mohd-tameem-503a33330
 Mahendra Kakde,Director,CLIDE Management Consultancy Pvt Ltd,https://in.linkedin.com/in/mahendra-kakde
 Devleena Bhattacharjee,Devleena Bhattacharjee,ClimaCrew Pvt Ltd,https://in.linkedin.com/in/devleenas
 Head-Quality Assurance,Head-Quality Assurance,Clinexel Life Sciences Pvt. Ltd,https://in.linkedin.com/in/md-nabid-7838a87
 Abhisek Tiwari,Co-founder,CLINICAL AI ASSISTANCE,https://in.linkedin.com/in/abhisektiwari/hi
 Dipti Mohanty,CEO & FOUNDER,CLINO HEALTH INNOVATION PVT LTD,https://in.linkedin.com/in/dipti-sundar-mohanty
 Uday Bhaskhar Pydi,Founder & CEO,Cliperact Technologies Private Limited,https://in.linkedin.com/in/uday-bhaskar-pydi-889279235
 Samir Kumar,Founder and CEO,CLIQ INDIA MEDIA PRIVATE LIMITED,https://in.linkedin.com/in/samir-kumar-79562b24
 Manjunath Jakkur Munigowda,CEO,Cloaktech Solutions Private Limited - Anvesana TBI,https://in.linkedin.com/in/manjunathjm
 Chandni Jagga,co-founder,Cloudminister Technologies pvt ltd,https://in.linkedin.com/in/%F0%9D%90%8A%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A4%F0%9D%90%9A-%F0%9D%90%92%F0%9D%90%A1%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%A6%F0%9D%90%9A-aa26b5216
 ALINA Rajesh,Alina Rias,Cluix Private Limited,https://in.linkedin.com/in/alina-rais
 Sumit Jadhav,Sumit Jadhav,CLVRSTP AI recruitment pvt. ltd.,https://in.linkedin.com/in/sumit-jadhav-b4993937
 Ayush Singhal,Founder and CEO,CodeMate AI,https://in.linkedin.com/in/theayushsinghal
 Tomesh Jain,Tomesh Kumar Jain,CodeTantra,https://in.linkedin.com/in/tomesh-kumar-jain-837163214
 Harsh Kumar,Managing Director,CODINGRIPPLER TECH PRIVATE LIMITED,https://in.linkedin.com/in/harsh-kumar-243a7744
 Arshad Koya,Managing Director,Coexin Technologies Healthcare Pvt Ltd,https://in.linkedin.com/in/arshad-koya-42a88518
 Amol Ghodke,Chief of Academic Officer,Cogniedge Edutech Private Limited,https://in.linkedin.com/in/amol-ghodke-7a2423101
 Romesh Sheth,Romesh Sheth,CognifAI Solutions Pvt Ltd,https://in.linkedin.com/in/romesh-sheth
 Kamlesh Tiwari,CTO,Cognix,https://in.linkedin.com/in/ktiwariiitk
 Srishty Jain,Founder and CEO,CoLLearn Education,Not found
 Abhinav Bangia,Founder & CEO,COM OLHO IT PRIVATE LIMITED,Not found
 Arpan Garg,"Founder, CEO",Commudle India Private Limited,https://in.linkedin.com/in/arpansac
 Manish Lila,Director,Compositech Greensol Pvt. Ltd.,https://in.linkedin.com/in/dr-manish-kumar-lila-49b02926
 SHRAVAN ROY,SHRAVAN KUMAR ROY,CONCEPT OF SUPER FOOD LLP,https://in.linkedin.com/in/er-shravan-k-roy-33846a28
 Lav Anand,Partner - Sales and Marketing Head,Conduct Exam Technologies LLP,https://in.linkedin.com/in/lav-anand-588b1139
 ANIL KUMAR GUPTA,DIRECTOR,Connect Ventures Services Pvt Ltd,https://in.linkedin.com/in/startupmentor
 Akarsh Singh,VP-Growth and Partnerships,Connedit Business Solutions Private Limited (FARMLEY),https://in.linkedin.com/in/akarshsingh22
 Susmitha Vanama,Susmitha Vanama,Constelli Signals Private Limited,https://in.linkedin.com/in/susmitha-vanama-b154351b3
 Praveen Kumar,Founder,Convora Technologies,https://in.linkedin.com/in/praveen-kumar-03942aa8
 Sikinder Reddy Thandra,Co-Founder & CEO,Coral Innovations Pvt. Ltd.(Bharat Smart Services),https://in.linkedin.com/in/sikinderreddy
 Deepak Shukla,Founder/Director,CoreData Networks Private Limited,https://in.linkedin.com/in/deepak-shukla-351bb02b
 Mukesh Jha,C.T.O.,Corp8.AI,https://in.linkedin.com/in/jmukesh99
 Robin Mittal,Designated Partner,Corporate Raasta Consulting LLP,https://in.linkedin.com/in/robin-mittal07
 Mayank Wadhera,Mayank Wadhera,Corpready Academy Private Limited,https://in.linkedin.com/in/mayankwadhera
 Pramod S,Pramod S,Cortex N Grey Technologies,https://in.linkedin.com/in/pramod1975
 Charu Sharma,CEO & Founder,Cosma Health ( Femacare Private Limited ),Not found
 Shrey Batra,CEO,Cosmocloud,https://in.linkedin.com/in/shreybatra
 Saurabh Vijayvergia,Saurabh Vijayvergia,CoverSure,https://in.linkedin.com/in/saurabhvijayvergia
 Anirudh Amin,Founder & CEO,CPO Assist,https://in.linkedin.com/in/anirudhamin
 SUNIL KUMAR,SENIOR GENERAL MANAGER,CRA REALTORS,https://in.linkedin.com/in/sunil-kumar-g-kumar-45060886
 Sarod S,Managing Director,CRADOT NOVELTIES PVT LTD,https://in.linkedin.com/in/sas-s-8b7a21353
 Shubham Singh,CEO,Craste,https://in.linkedin.com/in/shubhamsingh91
 Samyak Jain,"Director, co -founder",Crazycoffee Private Limited,https://in.linkedin.com/in/samyak-jain-804891194
 Rahul Khandelwal,Rahul Khandelwal,CRAZYGOLDFISH TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/rkhandelwal7
 CHIRAG JAIN,CHIRAG JAIN,CRCJ Technologies Private Limited,https://in.linkedin.com/in/chirag-jain97
 Udit Vij,Co-Founder,Crease Inda,https://in.linkedin.com/in/udit-vij-63a549118
 SUMAN SAURAV,SUMAN SAURAV,Creditbucket Technologies Private Limited,https://in.linkedin.com/in/suman-saurav
 Tanuj Sinha,CEO,CreditHaat,https://in.linkedin.com/in/sinhatanuj
 Himanshu Kumar,Cofounder & CEO,CredoHire,https://in.linkedin.com/in/khim369
 Sanny Chaudhary,Co-Founder & CEO,Crego (kiranovation technology pvt ltd),https://in.linkedin.com/in/sannychaudhary
 Ehtesham Farooqui,Founder,Cropcoin Technologies Private Limited,https://in.linkedin.com/in/ehteshamfarooqui
 ABHISHEK MISHRA,DIRECTOR & CEO,CSID TECHNOMATRICS PRIVATE LIMITED,https://in.linkedin.com/in/abhishek-mishra-15aug
 Satyadeo Thakur,Head of Products and Growth,Cunomial Technologies Private Limited,https://in.linkedin.com/in/leena-thakur-baa41316
 Aakash Sotta,Co-Founder & Director,Cup-Ji Foods & Beverages Pvt Ltd,https://in.linkedin.com/in/aakash-sotta
 Jay Sotta,Co-founder Director,Cup-Ji Foods and Beverages Private Limited,https://in.linkedin.com/in/jay-sotta-13a227189
 Chandrasekhar Bhat,Growth Head,Cureall Medicare OPC Private Limited,https://in.linkedin.com/in/mcbhat
 Gokul Visweswaran,CEO,Cureios Health eApp P Ltd,Not found
 Vasudha Narasimha Swamy,CEO & FOUNDER,Curexel Technologies Private limited,https://in.linkedin.com/in/vasudha-narasimhan-54893223
 MUTHUKUMAR CHOCKALINGAM,Director,CURIOSENSE INNOVATIONS PRIVATE LIMITED,https://in.linkedin.com/in/muthukumar-chockalingam-a01028258
 Vandana Devi,Founder CEO,Curtel Innovations Pvt Ltd,https://in.linkedin.com/in/vandana-singh-aa395a224
 Sheikh Yameen,Sheikh Yameen,Curve Electric,https://in.linkedin.com/in/sheikh-yameen-835a06133
 Hoshini Perera,Product Marketing Specialist,CXForge by ShoutOUTLabs,https://www.linkedin.com/in/hoshiniperera
 Vikram Mehta,Founder & CEO,Cy5,https://in.linkedin.com/in/vikram-mehta-69a91a1a
 Vartul Goyal,Vartul Goyal,CyberUltron Consulting Private Limited,https://ae.linkedin.com/in/vartul-goyal-a506a12a1
 Akarsh Singh,Director,Cycad Handicraft pvt ltd,https://in.linkedin.com/in/akarsh-singh-8a633b192
 Shivbihari Pandey,CEO,Cyethack Solutions Private Limited,Not found
 Rishabh Totala,Founder and CEO,D.I.T.U Technologies Private Limited,https://in.linkedin.com/in/rishabhtotala
 Anuj Gupta,Director,D2O LEARNING PRIVATE LIMITED,https://in.linkedin.com/in/anujenergy14
 Animesh Kumar,Founder,Daakia Private Limited,https://in.linkedin.com/in/animeshkgupta
 CHANDAN SINGH GHUGTYAL,FOUNDER AND CEO,DAAKIT TECHNOLOGIES PVT LTD,https://in.linkedin.com/in/chandansinghghugtyal
 SANDEEP KUMAR,SANDEEP KUMAR,DAGAR TECHNOLOGIES LLP,https://in.linkedin.com/in/sandeep-dagar-b3201889
 Anil Gade,National General Secretary,Dalit Industrial Association,https://in.linkedin.com/in/anil-gade-a4468a33b
 Lalrinnunga Jahau,Lalrinnunga,Darbu,https://in.linkedin.com/in/lalrinnunga
 Arafat alam Khan,7570059718,Dark elafi industries private limited,https://in.linkedin.com/in/arafat-alam-khan-092273227
 Khushi Tandon,Assistant Manager,Dash Dynamic Private Limited,https://in.linkedin.com/in/khushi-tandon-b82960200
 Soumyakant Das,CEO and Co -Founder,Dassonz Consumer Healthcare Private Limited (Clean Vitals),https://www.linkedin.com/in/soumyakant-das-498054179
 Reema Trivedi,AVP Marketing,Data Science Wizards,https://in.linkedin.com/in/reematrivedi19-dynamicmarketingprofessional
 Navdeep Agarwal,Founder,Dataorc,https://in.linkedin.com/in/navdeep-agarwal-074b8616
 Rupal Mathur,Co-Founder,DATENCE TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/rupal-mathur11
 Krishna Soni,Krishna Chandra Soni,DatePlatter Pvt. Ltd.,https://in.linkedin.com/in/krishna-chandra-soni-45565a15
 Vidya Prabhu,Chief Marketing Officer,DaveAI,https://in.linkedin.com/in/vidya-prabhu-9ba27710a
 Aryan Ghosh,Aryan ghosh,DECENTRACLASSES,https://in.linkedin.com/in/aryanghosh
 Siddhartha Mishra,Founder & Head of AI,Deep Dive Consulting Pvt Ltd,https://www.linkedin.com/in/siddhartha-mishra2020
 Bhavna Ambudkar,Founder,Deepak Ambudkar,https://in.linkedin.com/in/deepakambudkar
 Arunkumar Venkataramanan,"Founder, CEO, CPTO, Research Scientist",DeepBrainz AI (DeepBrainz Technologies Private Limited),https://in.linkedin.com/in/arunkumarramanan
 Deepak Jain,Deepak Jain,DeepLase Technologies Pvt Ltd,https://in.linkedin.com/in/deepak-jain-81a4048
 Omkar Singh,7596990439,Delyfresh Farm Tech Private Limited,https://in.linkedin.com/in/omkar-singh-762892148
 OMKAR KUMAR,FOUNDER,DelyFresh Farm Tech Pvt. Ltd,Not found
 Prachi Deval,Founder & CEO,DENTATHOME PVT. LTD.,https://in.linkedin.com/in/prachi-deval-a49491140
 Aditya Thakur,CEO & FOUNDER,Dentifrice Private Limited,https://in.linkedin.com/in/dr-aditya-thakur-078112240
 Akshay Jain,Founder and CEO,Deotech Solutions Private Limited,https://in.linkedin.com/in/akshay-jain-deotech
 Sudarshan Deka,Co-Founder,Deroi Innovations Private Limited,https://in.linkedin.com/in/sudarshan-deka-a10313132
 Kritika Ranjan,Designated Partner,Design Gaatha Home And Living LLP,https://in.linkedin.com/in/kritika-ranjan-3a5ab311b
 Yogesh Biyani,Yogesh Biyani,DESIGN WORKSTATION,https://in.linkedin.com/in/yogesh-biyani-79063838
 Sourav Acharya,Director,Desitech Tirustore Private Limited,https://in.linkedin.com/in/acharyasourav
 Rajesh Kumar,Founder & CEO,Deskriver Business Centre OPC Pvt Ltd,https://in.linkedin.com/in/rajesh-kumar-antino
 Adityavardhan Kumar,Chief of Staff,Detoxyfi Technologies Private Limited,https://in.linkedin.com/in/notavk
 K D Sharma,Co founder Director,"Dev Ethical Sustainable Crafts and Textiles, Uttarakhand - DESCATUK",https://in.linkedin.com/in/k-d-sharma
 Dev Pratap,Dev Pratap,Dev Pratap,https://in.linkedin.com/in/dev-pratap-77387a22
 Tirupatibalaji Dighole,Tirupatibalaji Shantaram Dighole,Devaitechs Private Limited,https://in.linkedin.com/in/shantaram-dighole
 Girish Shelly,Director and CEO,Devanant App private limited,Not found
 Nakul Kundra,Founder,Devnagri AI Private Limited,https://in.linkedin.com/in/kundra-nakul
 DHANALAKSHMI VIGNESH,FOUNDER,DHANA FOOD PRODUCTS,https://in.linkedin.com/in/dhana-s-food-8a05ab285
 ROBIN CHOUDHARY,ROBIN CHOUDHARY,DHARTI AUTOMATION,https://in.linkedin.com/in/robin-choudhary-a7365a180
 JAYAN MENON,Executive Director,DHAVALAS,https://in.linkedin.com/in/jayan-menon-11132b126
 Sangeeta Singh,sangeeta singh,Dhayas Arts,https://in.linkedin.com/in/dr-sangeeta-singh-897947a4
 Santosh Khawale,Director,Dhenoo Tech Solutions Pvt Ltd,https://in.linkedin.com/in/santoshkhawale
 Bhavesh Purohit,Bhavesh purohit,Dhenuprasad Agrovat Pvt Ltd,https://in.linkedin.com/in/bhavesh-purohit-049092222
 DHILIPAN AR,Co-Founder and CEO,DHILIPAN A R,https://in.linkedin.com/in/dhilipan-a-r-397453212
 Mahesh Keshavamurthy,Director,DHIVRIDDHI CONSULTING OPC PRIVATE LIMITED,https://in.linkedin.com/in/maheshk
 Ajay Girotra,CEO,Diatomic,https://in.linkedin.com/in/ajaygirotra
 LEIYAMI ASAI,FOUNDER & DIRECTOR,DIETICARE TRIBAL ESSENCE PVT LTD,https://in.linkedin.com/in/leiyami-asai-603893179
 MAYANK KUMAR,DIRECTOR,DIGIBELLS TECHNOLOGIES PRIVATE LIMITED,https://in.linkedin.com/in/mayank-kr-singh-2604172b8
 Mayank Wadhera,DIRECTOR,DIGICOMPLY SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/mayankwadhera
 PRANAV ASTHANA,MANAGER,DIGIGENEE SERVICE AND SOLUTIONS PRIVATE LIMITED,https://in.linkedin.com/in/pranav-asthana-2858b862
